time,kw,cdr_pump,cdr_fan1,fre1_fan5,cpr3,cpr1,fre1_fan3,cpr2
2023-06-26 18:00:00,206.679994,0.8,1.0,0.8,80.0,80.0,0.8,60.0
2023-06-26 19:00:00,271.4857114285714,1.0,1.0,1.0,100.0,100.0,1.0,100.0
2023-06-26 20:00:00,269.9999971428571,1.0,1.0,1.0,100.0,100.0,1.0,100.0
2023-06-26 21:00:00,266.8571385714286,1.0,1.0,1.0,100.0,100.0,1.0,100.0
2023-06-26 22:00:00,248.9714314285714,1.0,1.0,0.8571428571428571,100.0,85.71428571428571,0.8571428571428571,100.0
2023-06-26 23:00:00,250.20000428571424,1.0,1.0,1.0,100.0,100.0,1.0,100.0
2023-06-27 00:00:00,263.3142885714286,1.0,1.0,1.0,100.0,100.0,1.0,100.0
2023-06-27 01:00:00,272.1714257142857,1.0,1.0,1.0,100.0,100.0,1.0,100.0
2023-06-27 02:00:00,266.1428557142857,1.0,1.0,0.8571428571428571,100.0,100.0,0.5714285714285714,100.0
2023-06-27 03:00:00,258.48571,1.0,1.0,0.5714285714285714,100.0,100.0,1.0,100.0
2023-06-27 04:00:00,240.94285714285712,1.0,1.0,1.0,100.0,100.0,1.0,100.0
2023-06-27 05:00:00,230.97142857142856,1.0,1.0,1.0,100.0,100.0,1.0,100.0
2023-06-27 06:00:00,227.77142285714285,1.0,1.0,1.0,100.0,100.0,1.0,100.0
2023-06-27 07:00:00,218.8857114285714,1.0,1.0,0.8571428571428571,100.0,100.0,0.8571428571428571,100.0
2023-06-27 08:00:00,28.42857,0.14285714285714285,0.14285714285714285,0.0,14.285714285714286,14.285714285714286,0.0,14.285714285714286
2023-06-27 09:00:00,2.466666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-27 10:00:00,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-27 12:00:00,204.46666666666667,1.0,1.0,1.0,0.0,100.0,1.0,100.0
2023-06-27 13:00:00,152.08571571428573,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.0,71.42857142857143,0.7142857142857143,71.42857142857143
2023-06-27 14:00:00,2.3999999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-27 15:00:00,16.166666666666668,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.0,12.5,0.16666666666666666,0.0
2023-06-27 16:00:00,205.91428571428568,1.0,1.0,1.0,0.0,96.42857142857143,0.8571428571428571,85.71428571428571
2023-06-27 17:00:00,205.99999714285713,1.0,1.0,0.42857142857142855,0.0,100.0,0.5714285714285714,100.0
2023-06-27 18:00:00,171.5428542857143,1.0,1.0,0.5714285714285714,71.42857142857143,92.85714285714286,0.7142857142857143,28.571428571428573
2023-06-27 19:00:00,170.08571285714285,1.0,1.0,0.5714285714285714,100.0,100.0,0.5714285714285714,0.0
2023-06-27 20:00:00,160.42857,1.0,1.0,0.5714285714285714,100.0,100.0,0.5714285714285714,0.0
2023-06-27 21:00:00,162.19999714285714,0.8571428571428571,0.8571428571428571,0.8571428571428571,85.71428571428571,28.571428571428573,0.8571428571428571,57.142857142857146
2023-06-27 22:00:00,200.60000285714287,1.0,1.0,1.0,100.0,0.0,1.0,100.0
2023-06-27 23:00:00,135.74285857142857,0.7142857142857143,0.7142857142857143,0.5714285714285714,28.571428571428573,42.857142857142854,0.5714285714285714,71.42857142857143
2023-06-28 00:00:00,130.39999571428572,0.7142857142857143,0.7142857142857143,0.5714285714285714,64.28571428571429,42.857142857142854,0.5714285714285714,28.571428571428573
2023-06-28 01:00:00,155.95,1.0,0.75,0.75,62.5,25.0,0.75,75.0
2023-06-28 02:00:00,144.85714428571427,0.8571428571428571,0.7142857142857143,0.7142857142857143,78.57142857142857,28.571428571428573,0.7142857142857143,42.857142857142854
2023-06-28 03:00:00,115.62857142857142,0.7142857142857143,0.7142857142857143,0.42857142857142855,28.571428571428573,39.285714285714285,0.42857142857142855,50.0
2023-06-28 04:00:00,107.19999857142857,0.7142857142857143,0.7142857142857143,0.42857142857142855,42.857142857142854,42.857142857142854,0.42857142857142855,28.571428571428573
2023-06-28 05:00:00,147.62857285714284,0.7142857142857143,0.7142857142857143,0.7142857142857143,71.42857142857143,0.0,0.7142857142857143,71.42857142857143
2023-06-28 06:00:00,128.00000285714287,0.7142857142857143,0.7142857142857143,0.5714285714285714,71.42857142857143,0.0,0.2857142857142857,71.42857142857143
2023-06-28 07:00:00,151.20000285714286,0.8571428571428571,0.8571428571428571,0.14285714285714285,0.0,85.71428571428571,0.5714285714285714,85.71428571428571
2023-06-28 08:00:00,159.62856714285712,0.8571428571428571,0.8571428571428571,0.7142857142857143,71.42857142857143,75.0,0.7142857142857143,14.285714285714286
2023-06-28 09:00:00,191.79999714285717,1.0,1.0,1.0,100.0,100.0,1.0,0.0
2023-06-28 10:00:00,140.6,0.8571428571428571,0.8571428571428571,0.7142857142857143,71.42857142857143,71.42857142857143,0.7142857142857143,3.5714285714285716
2023-06-28 11:00:00,155.8857142857143,1.0,1.0,0.7142857142857143,85.71428571428571,0.0,0.7142857142857143,89.28571428571429
2023-06-28 12:00:00,127.77143285714286,0.7142857142857143,0.7142857142857143,0.5714285714285714,42.857142857142854,28.571428571428573,0.5714285714285714,71.42857142857143
2023-06-28 13:00:00,145.97143,0.8571428571428571,0.8571428571428571,0.7142857142857143,0.0,85.71428571428571,0.7142857142857143,85.71428571428571
2023-06-28 14:00:00,128.97142714285715,0.7142857142857143,0.7142857142857143,0.7142857142857143,71.42857142857143,60.714285714285715,0.7142857142857143,0.0
