date,OT,cdr_pump,cdr_fan1,fre1_fan5,cpr3,cpr1,fre1_fan3,cpr2
2024/3/23 0:00,86.40000143,0.428571429,0.285714286,0.285714286,14.28571429,39.28571429,0.285714286,35.71428571
2024/3/23 1:00,66.11428714,0.285714286,0.142857143,0.285714286,0,28.57142857,0.285714286,32.14285714
2024/3/23 2:00,58.77142714,0.285714286,0.142857143,0.142857143,17.85714286,21.42857143,0.142857143,14.28571429
2024/3/23 3:00,58.17142857,0.285714286,0,0.285714286,28.57142857,14.28571429,0.285714286,3.571428571
2024/3/23 4:00,69.37142857,0.428571429,0.142857143,0.285714286,28.57142857,28.57142857,0.285714286,7.142857143
2024/3/23 5:00,93.00000143,0.428571429,0,0,25,42.85714286,0.428571429,28.57142857
2024/3/23 6:00,102.8571429,0.571428571,0.142857143,0.285714286,17.85714286,42.85714286,0.142857143,39.28571429
2024/3/23 7:00,68.71428571,0.285714286,0,0.428571429,14.28571429,28.57142857,0.142857143,21.42857143
2024/3/23 8:00,22.85714286,0,0,0.142857143,10.71428571,0,0.142857143,0
2024/3/23 9:00,85.19999714,0.428571429,0.142857143,0.142857143,14.28571429,42.85714286,0.142857143,21.42857143
2024/3/23 10:00,94.74285429,0.428571429,0.285714286,0.142857143,42.85714286,28.57142857,0.285714286,14.28571429
2024/3/23 11:00,99.65714429,0.428571429,0.142857143,0.142857143,35.71428571,42.85714286,0.142857143,14.28571429
2024/3/23 12:00,142.0285714,0.571428571,0.285714286,0.285714286,57.14285714,53.57142857,0.285714286,28.57142857
2024/3/23 13:00,70.97142857,0.285714286,0,0.285714286,25,14.28571429,0.285714286,14.28571429
2024/3/23 14:00,99.51428571,0.571428571,0.285714286,0.285714286,21.42857143,28.57142857,0.285714286,32.14285714
2024/3/23 15:00,74.82857143,0.428571429,0.142857143,0.285714286,14.28571429,25,0.285714286,0
2024/3/23 16:00,156.0857129,0.714285714,0.571428571,0,42.85714286,67.85714286,0,35.71428571
2024/3/23 17:00,113.5142829,0.428571429,0.285714286,0.285714286,42.85714286,28.57142857,0.285714286,35.71428571
2024/3/23 18:00,126.4857157,0.714285714,0.428571429,0.285714286,35.71428571,42.85714286,0.285714286,42.85714286
2024/3/23 19:00,86.22857286,0.428571429,0.285714286,0.285714286,25,14.28571429,0.285714286,28.57142857
2024/3/23 20:00,102.1142857,0.571428571,0.142857143,0.285714286,21.42857143,42.85714286,0.285714286,28.57142857
2024/3/23 21:00,83.74285857,0.285714286,0.285714286,0.285714286,21.42857143,28.57142857,0.285714286,28.57142857
2024/3/23 22:00,73.34285714,0.285714286,0.142857143,0.285714286,14.28571429,28.57142857,0.285714286,28.57142857
2024/3/23 23:00,61.68571571,0.285714286,0.142857143,0.142857143,14.28571429,28.57142857,0.142857143,14.28571429
2024/3/24 0:00,54.62857143,0.142857143,0.142857143,0.142857143,10.71428571,17.85714286,0.142857143,14.28571429
